Date,Name,Description
2025-09-22,AfterWork Run & Learn,kl 1630: Alexander Skeltved holder foredrag om løping. Felles trening etterpå 🏃
2025-09-30,Rosa Sløyfe Bergen, kl 1800: 6km for en god sak
2025-10-09,2S Stoltzen opp,xBU konkuranse - mer info kommer!
2025-10-18,Bergen Maratonkarusellen,Hel- eller halvmaraton rundt Fana
2025-10-26,Glesværløpet,"5,2km løp på Sotra"
2025-10-30,Nightrun Bergen,"7,8km på Fløyen med hodelykt"
2025-12-06,Bergen Advents Maraton,Årets siste løp i Bergen Maratonkarusellen
